SimStadt PV potential analysis

Data source;meteonorm tmy3 file 2000-2009
Location;Berlin
Latitude;52,51;°
Longitude;13,38;°
Radiation model;meteonorm_Hay
Irradiance azimuth resolution;5;°
Irradiance tilt resolution;5;°
Max tilt;100;°
Include Tilted Roofs?;true
Include Flat Roofs?;true
Include Facades?;false
Include LOD1?;false
Max flat roof elevation;10;°
Min surface area;40;m²
Min roof insolation;1100;kWh/(m²·a)
Min facade insolation;800;kWh/(m²·a)
Module area to flat roof area;30;%
Module area to tilted roof area;40;%
Module area to LOD1 roof area;15;%
Module area to facade area;5;%
Module efficiency;15;%
Performance Ratio;85;%
Module azimuth on flat roof;180;°
Module tilt on flat roof;25;°


SimStadt version;0.10.0-SNAPSHOT (master, rev. 6d7c707, 20230828)
Created at;2024/11/06 16:02:03
Cache version;7

Irradiance on unshadowed tilted modules on flat roof;138,7;W/m²
Calculation time ;0,22;s

Building ID;Year;Surface area to volume ratio;MeanHeight;BuildingSurface ID;BuildingSurface Hash;LOD;Usage Code;X-Coordinate;Y-Coordinate;Azimuth;Tilt;Area;Module area/Surface area;Irradiance in module plane;PV potential nominal power;PV potential yield;PV specific yield;January irradiance on roof plane;February irradiance on roof plane;March irradiance on roof plane;April irradiance on roof plane;May irradiance on roof plane;June irradiance on roof plane;July irradiance on roof plane;August irradiance on roof plane;September irradiance on roof plane;October irradiance on roof plane;November irradiance on roof plane;December irradiance on roof plane;Total investment;Maintenance costs;LCOE;Net present value;Internal rate of return;Payback period;Discounted payback period;Financial feasibility
[-];[-];[1/m];[m];[-];[-];[-];[-];[m];[m];[°];[°];[m²];[%];[W/m²];[kWp];[MWh/a];[kWh/(kWp.a)];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[€];[€/a];[c€/kWh];[€];[%];[a];[a];[0/1]
UUID_6ea27d5d-85da-45b2-8fe7-7c6bef164099;;0,346;11,300;ID_28238e5b-f5da-4126-9165-1c645795deb7;1958241079;LOD2;3010;384156,4;5820231,8;175;37;40,7;40,00;136,9;2;2,04;1019;30;56;153;247;219;218;197;209;164;76;48;22;
UUID_6ea27d5d-85da-45b2-8fe7-7c6bef164099;;0,346;11,300;ID_654883fe-474e-4c97-9eee-760277ea3181;2012638002;LOD2;3010;384156,4;5820231,8;266;36;40,7;40,00;140,8;2;2,10;1048;36;63;152;239;226;239;201;217;160;78;47;28;
DEBE3DnVUW1P1H0c;1925;0,255;19,366;ID_6d71c183-3d3e-49dd-a6ef-d89cda4f6178;694864219;LOD2;1120;384502,6;5821234,1;348;4;67,6;30,00;138,7;3;3,10;1033;27;49;113;205;211;225;198;190;130;63;32;21;
UUID_71de127f-2c87-4184-93ce-c95ac95cb396;1905;0,326;10,145;ID_ac5a193c-ef24-434f-924a-2d608ad7da14;1741983612;LOD2;3021;384880,5;5820590,3;180;0;2381,9;30,00;138,7;107;110,53;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Da0CBydQFB3;;0,567;7,162;ID_ce17dd28-111c-49bc-a871-4ee556b61964;726839724;LOD2;3061;385972,8;5820803,7;180;0;134,6;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000IJD;1905;0,321;22,437;ID_5fb5a276-2071-4833-9da0-efeda15fe2a6;934264510;LOD2;1010;384637,1;5820833,5;180;0;801,9;30,00;138,7;36;37,19;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000QZa;1900;0,649;4,797;ID_569a4481-00e2-42d7-a0d1-75e13ef7bb9f;438699879;LOD2;2143;385575,7;5821070,3;169;8;83,4;30,00;138,7;3;3,10;1033;28;52;132;229;221;228;204;203;147;69;39;22;
DEBE3DmfSZn8FDhi;2013;0,413;6,644;ID_73d5cfe6-1546-4dc3-82b4-6354a83294d3;1089666772;LOD2;2000;385593,4;5820432,7;85;10;328,0;30,00;138,7;14;14,46;1033;22;42;105;197;203;214;192;181;122;57;28;17;
DEBE3DmfSZn8FDhi;2013;0,413;6,644;ID_fa12f9ef-f01e-496b-9f67-0e91adfce990;1880964751;LOD2;2000;385593,4;5820432,7;265;10;280,7;30,00;138,7;12;12,40;1033;32;57;134;227;224;236;206;207;148;72;40;25;
DEBE3DmfSZn8FDhi;2013;0,413;6,644;ID_8762ccde-63bd-402b-9464-e41a0ff21132;1064608804;LOD2;2000;385593,4;5820432,7;0;9;119,1;30,00;138,7;5;5,16;1033;25;46;103;192;204;220;193;182;120;58;28;19;
DEBE3Dx7QQdoLITp;1900;2,365;20,854;ID_a4ce8d77-ca9c-43d7-b96a-ab7fa9eec34a;697532346;LOD2;1010;385277,4;5820819,8;90;10;99,5;30,00;138,7;4;4,13;1033;23;43;106;198;204;214;193;182;123;57;28;17;
DEBE04YY50000PV4_01;;0,302;19,634;ID_0f2d4244-e4c7-45a4-bc1a-90bfbd6d1243;948202291;LOD2;1010;384842,9;5820890,4;195;10;95,0;30,00;138,7;4;4,13;1033;31;56;138;235;225;231;206;208;152;73;41;24;
DEBE04YY50000PV4_01;;0,302;19,634;ID_f539f297-0d54-4c29-bfc2-e62c977db86d;1781571574;LOD2;1010;384842,9;5820890,4;15;10;107,4;30,00;138,7;4;4,13;1033;25;44;100;188;201;217;192;179;117;57;28;19;
DEBE3DLbTqBL7mY1;1905;0,431;20,540;ID_e9170a8d-2c93-483c-8fe0-7ac6af35cc29;511384084;LOD2;1022;385077,3;5821322,8;180;0;131,3;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Db7oD4O7c5j;;0,408;17,255;ID_9f92f367-976b-4492-aad1-f22b57b144c8;763858208;LOD2;1010;385793,4;5821331,3;174;50;49,2;40,00;131,6;2;1,96;980;29;55;155;241;205;200;182;199;164;75;50;21;
DEBE3Db2q6AeNnua;1905;0,555;20,822;ID_6755df0f-efac-43dd-9a6c-cec7b8c88dc7;1753457215;LOD2;1010;384757,9;5820615,2;180;0;48,8;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY5000098C;;0,386;22,559;ID_e99f20ce-7545-486c-b578-eef2bebef4ad;1451779743;LOD2;1010;385765,9;5820036,4;180;0;425,2;30,00;138,7;19;19,63;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DTt3tdjI7B1;1900;0,417;20,293;ID_f70a6256-d9d5-43fb-a6ad-ae4684a599cb;1158855288;LOD2;1010;385151,7;5820766,9;273;7;54,2;30,00;138,7;2;2,07;1033;30;54;126;220;220;231;204;201;141;69;37;24;
DEBE3D04YY50000RJP;;0,318;22,535;ID_7db518f4-99a9-4b1c-a3b0-568e056404f3;575495037;LOD2;1010;384891,6;5820209,5;180;0;220,3;30,00;138,7;9;9,30;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DKcoaJ20cQx;1905;0,305;20,854;ID_ea57617f-057c-46f8-bba7-6186faf37fa7;563968901;LOD2;1010;384842,1;5820762,5;15;10;190,7;30,00;138,7;8;8,26;1033;25;44;100;188;201;217;192;179;117;57;28;19;
DEBE3DKcoaJ20cQx;1905;0,305;20,854;ID_ac2d11e4-86fb-4ae9-b0bb-e169c7ede403;2031835560;LOD2;1010;384842,1;5820762,5;195;55;94,8;40,00;139,3;5;5,19;1037;37;67;174;252;203;199;178;205;178;88;60;28;
DEBE3DqvCE0uMoYM;;0,258;17,954;ID_f15d6779-b796-4ca5-a360-57fa17e286e2;190481459;LOD2;2111;385772,5;5821417,3;180;0;245,1;30,00;138,7;11;11,36;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DNjXbtARvI4;1905;0,634;21,395;ID_1998ec0c-4368-445e-9751-f5816d9a59b6;1324525930;LOD2;1010;384611,7;5820793,2;200;10;211,9;30,00;138,7;9;9,30;1033;31;56;139;235;226;232;206;209;153;73;42;24;
DEBE3Dww66KUn1nw;;0,281;20,563;ID_0421b860-68b5-4e9e-8853-8e1a01ac6b50;1991392604;LOD2;1010;384980,3;5820293,9;212;4;206,1;30,00;138,7;9;9,30;1033;30;54;130;226;222;231;205;203;145;70;38;23;
UUID_acdbc487-39d5-4373-81a3-fceed0a1277a;;0,359;17,425;ID_3a6a215f-4ca0-4fc6-96c4-f95aff3029d6;2112692816;LOD2;1010;385171,2;5820166,8;180;0;142,6;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY500007x2;;1,130;3,664;ID_ba5de7ae-eeb2-4cfc-a01f-f4783f334aab;338415779;LOD2;2463;385857,2;5820119,3;110;5;56,1;30,00;138,7;2;2,07;1033;25;47;116;210;212;222;198;191;132;62;32;20;
DEBE3D01YYK0003V3w;;0,872;8,428;ID_b4f0ed33-95ae-4b07-a2da-e02bdf560ec5;1293238342;LOD2;1610;386001,3;5820956,3;180;0;40,3;30,00;138,7;1;1,03;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DLJcPn6aML8;;0,908;3,703;ID_17128795-2f69-49a8-8f16-d86922134a33;1805655036;LOD2;2143;385960,4;5821687,5;258;4;56,5;30,00;138,7;2;2,07;1033;30;54;128;222;221;232;204;203;143;69;38;24;
DEBE3D01YYK0003USK;;0,759;5,709;ID_854226c7-de77-43d6-b9eb-d305a456b2a6;2076748449;LOD2;1610;385943,1;5821100,9;18;8;141,4;30,00;138,7;6;6,20;1033;25;44;99;188;201;216;191;178;117;56;27;19;
DEBE3DjPlFf1MlDn;;0,446;19,394;ID_4f1e412e-e354-4597-83b3-a1fbcbe6cd4f;1000969211;LOD2;1010;385788,7;5821282,3;264;11;56,2;40,00;134,3;3;3,00;1000;32;57;134;227;224;236;206;207;148;72;40;25;
DEBE3Dq0AfPhxjnp;;0,762;4,040;ID_3c76d660-b3e0-43ab-bcce-0d360d7b4c1b;2110302279;LOD2;2143;385282,0;5821812,2;258;3;480,4;30,00;138,7;21;21,69;1033;30;54;128;222;221;232;204;203;143;69;38;24;
DEBE3D01YYK0002ROe;;0,510;9,425;ID_7820d391-af14-4eca-bfa6-42ec5e9eba71;1669674580;LOD2;2100;385797,7;5821079,8;285;4;99,5;30,00;138,7;4;4,13;1033;30;53;125;218;219;231;203;200;140;68;36;24;
DEBE3D04YY500008UE;;0,414;12,969;ID_edba025d-d2b0-4ee9-afde-62c497e2b0ca;1829974935;LOD2;1010;384971,3;5821497,0;168;11;125,0;40,00;131,5;7;6,85;979;28;52;132;229;221;228;204;203;147;69;39;22;
DEBE3D04YY50000HuN;;0,368;15,602;ID_2f79c993-e540-4a5d-874b-5aaee97e7e51;1365465010;LOD2;1010;385870,4;5820135,1;179;42;143,0;40,00;138,5;8;8,25;1031;31;59;159;251;217;215;194;210;169;79;51;23;
DEBE3D01YYK0003V51;;0,783;4,972;ID_4686fd6d-3613-4f13-9510-9fb644933370;2059752246;LOD2;1610;385852,3;5820958,7;180;0;76,0;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000QgJ;;0,376;21,217;ID_1bcc2bc5-c43c-4a35-85d4-001a502f3c41;192149152;LOD2;1010;384706,1;5820304,5;180;0;396,6;30,00;138,7;17;17,56;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DrTKAEV5Lir;1925;0,445;21,443;ID_eb040fd6-6bfe-4257-8fd5-2eff87078547;1308157584;LOD2;1120;384481,3;5821234,9;180;0;51,3;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_720f2b46-4948-4431-adaf-d4fae420dee1;;0,429;21,122;ID_e9bb6939-495b-45f5-ad3d-cb46b2a66de1;616835056;LOD2;1010;385998,8;5820018,1;180;0;87,2;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DrXKMOZTjdb;;0,335;10,100;ID_22032a81-2a15-4ed6-a59f-b578771d8627;1148910077;LOD2;3031;384292,8;5820327,1;175;33;51,8;40,00;136,9;3;3,06;1019;30;56;153;247;219;218;197;209;164;76;48;22;
DEBE3DamvYPx3atc;1905;0,242;21,006;ID_08b4eb93-d5bb-4b19-9503-cb0092171870;780852966;LOD2;1010;384793,7;5820519,0;127;10;115,2;30,00;138,7;5;5,16;1033;24;46;117;212;212;220;198;191;133;61;32;18;
DEBE3DlcUQDihjmX;1905;0,338;19,301;ID_f1dfb31b-7401-41ac-bde0-82572c42c8cf;1190159218;LOD2;1010;384712,4;5820728,0;106;3;61,6;30,00;138,7;2;2,07;1033;25;47;115;209;211;221;198;190;132;62;32;20;
DEBE3DlcUQDihjmX;1905;0,338;19,301;ID_3f8b6733-3bc2-4c55-9288-31fb82317c0d;1648451427;LOD2;1010;384712,4;5820728,0;286;41;54,7;40,00;128,3;3;2,87;955;29;55;133;215;211;229;191;201;142;69;38;23;
DEBE3DoY84AxpPbz;1905;0,466;23,432;ID_483038db-a5b8-4b73-8051-3a85a1486689;537696934;LOD2;1010;384693,6;5820634,7;180;0;101,3;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Dkzal78519L;;0,429;16,856;ID_5b8e8ed8-d6bc-4354-9654-bc3fedec6382;1446502579;LOD2;1010;384964,3;5821994,1;180;0;93,0;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DLlP3hsGijT;;0,491;16,338;ID_46d8080e-b5f4-4a92-937f-a4e011ec7add;121398388;LOD2;1010;384295,6;5820013,3;180;0;139,2;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D01YYK0003V2V;;11,607;0,186;ID_580af98d-b4d3-47e6-a8b2-0b2aa069b8be;1722967584;LOD2;1610;385924,9;5821484,1;180;0;107,7;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000Qgb;;1,541;2,235;ID_ed168005-d2c6-426e-ad45-fcd55609ef5c;888348623;LOD2;3010;385825,3;5820163,4;180;0;40,1;30,00;138,7;1;1,03;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DwERcC6Wilv;1900;0,258;23,427;ID_a6de7533-2839-4304-a351-7357aa2171e1;1783838362;LOD2;1010;385017,3;5820837,7;180;0;143,0;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DRI47kGRwCg;1905;0,333;20,701;ID_3deeaa66-c025-4ae5-8c88-eba500c7264e;868298169;LOD2;1010;384824,0;5820767,3;15;10;201,6;30,00;138,7;9;9,30;1033;25;44;100;188;201;217;192;179;117;57;28;19;
DEBE3DRI47kGRwCg;1905;0,333;20,701;ID_4488c0fd-5aa9-4118-bac8-fe5166bf47d3;2013292151;LOD2;1010;384824,0;5820767,3;195;53;73,1;40,00;139,3;4;4,15;1037;37;67;174;252;203;199;178;205;178;88;60;28;
DEBE3Dxd2YhdX1bn;1925;0,711;19,515;ID_0c2d4dea-7662-4c9b-a764-1fdd3e5830ec;1478577369;LOD2;1010;384573,3;5821255,9;349;1;142,2;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DlCBU6qnKQ3;1955;0,310;19,330;ID_bb67ddf1-7c85-4a62-bef8-e058d8cb3728;1100171893;LOD2;1010;384738,5;5821023,3;286;38;112,4;40,00;128,3;6;5,73;955;29;55;133;215;211;229;191;201;142;69;38;23;
DEBE3Dd3RcM0WBz9;1905;0,550;22,853;ID_ffe3e1a3-c1e8-4dd8-b39a-7301220f5957;662607186;LOD2;1010;384616,7;5820536,3;19;2;84,3;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D01YYK0003UYB;;0,997;3,133;ID_c5532cb4-0c55-449c-aaf3-28270e3c2141;2057620611;LOD2;1610;385746,2;5821178,6;285;7;89,2;30,00;138,7;4;4,13;1033;30;53;125;218;219;231;203;200;140;68;36;24;
DEBE3D04YY50000HtE;;0,927;3,197;ID_d36284d2-0083-49b6-bc9a-088a7af47cfc;1141554651;LOD2;2460;384864,3;5820161,2;265;8;85,2;30,00;138,7;3;3,10;1033;32;57;134;227;224;236;206;207;148;72;40;25;
DEBE3DYMEqlZAOXl;1955;0,312;9,582;ID_a77d0806-73ce-457d-b2e8-e172b1e4e982;343239587;LOD2;2054;385304,4;5820604,5;180;0;405,9;30,00;138,7;18;18,59;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DhKnDR5bRkK;;0,378;19,012;ID_945bbc6a-f340-42d5-a4c5-fc22f8c765c2;1382482528;LOD2;1010;385762,8;5821287,2;30;3;156,4;30,00;138,7;7;7,23;1033;26;46;109;201;208;221;196;186;126;60;30;20;
DEBE3DhKnDR5bRkK;;0,378;19,012;ID_494edaa1-3183-4179-8743-f85a8ea330b0;2024322050;LOD2;1010;385762,8;5821287,2;210;45;65,4;40,00;149,1;3;3,33;1110;41;73;179;265;223;220;194;221;184;92;62;32;
DEBE3D04YY50000Qdy;;0,396;18,528;ID_424466cb-0851-4680-a176-e4a8ff2a3766;1978673141;LOD2;1010;384991,4;5820032,8;180;0;230,2;30,00;138,7;10;10,33;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D01YYK0003UY2;;0,851;7,077;ID_ba0a2244-ef41-4859-bea7-de82c6b11e2e;1428478755;LOD2;1610;385688,5;5821819,9;180;0;78,7;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DubF4IpS2dT;1955;0,275;18,167;ID_8b418ef5-7e30-4504-89e5-ced4a5d9d5a0;2011708611;LOD2;1010;384964,4;5821128,1;195;36;166,0;40,00;145,1;9;9,72;1081;36;65;168;260;225;224;199;218;176;85;55;27;
DEBE3Dusn8CN6HL5;1900;0,388;21,387;ID_3ee4b91d-81b1-45ad-8c5c-55a1993021ad;1925199870;LOD2;1010;385268,0;5820803,5;180;0;66,2;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000ITl;;0,331;24,589;ID_8b75a62b-40c2-4603-82ca-1a00700ae55f;1226419249;LOD2;1000;385754,7;5820288,5;180;0;255,9;30,00;138,7;11;11,36;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000J6N;;0,331;24,681;ID_4328a47d-83d9-40c9-a9a9-123b4e2b1743;1466213235;LOD2;1000;385730,9;5820271,8;180;0;255,9;30,00;138,7;11;11,36;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Dq1vkizkIea;;0,277;19,629;ID_a9d52480-524f-488a-8b11-240f51c9ccf4;1570085631;LOD2;1010;384965,7;5820271,1;212;0;157,1;30,00;138,7;7;7,23;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Dt1WkewEo8j;;0,324;9,026;ID_65770bfd-3a47-4f67-8f0d-b11d711bd1c7;1032276879;LOD2;2111;384836,6;5821533,3;180;0;600,0;30,00;138,7;27;27,89;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DJKqcITGwqE;;0,321;22,245;ID_bcf8bcb9-b9a3-41e9-a90f-dbefda1965cf;2138995777;LOD2;1010;384578,3;5820104,2;265;4;87,0;30,00;138,7;3;3,10;1033;30;54;128;222;221;232;204;202;143;69;38;24;
DEBE3DhsXBHy7ShX;;0,301;20,340;ID_3558bc9a-eddc-4e18-a85c-3e0ffea72ea5;733286100;LOD2;1010;385248,2;5820193,1;98;4;108,9;30,00;138,7;4;4,13;1033;25;47;114;208;211;221;198;189;131;61;32;19;
DEBE3DhsXBHy7ShX;;0,301;20,340;ID_45ee0569-8bdd-43ae-9612-cc88809c2de6;1997265576;LOD2;1010;385248,2;5820193,1;278;47;73,3;40,00;130,5;4;3,89;971;31;57;138;219;213;229;191;203;146;71;40;24;
DEBE3D04YY50000AF7;1900;1,129;2,770;ID_ccfc3ca6-08d2-42d7-bebe-949935970ba3;1641648148;LOD2;2460;385125,5;5820805,7;180;0;130,6;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D01YYK0003TvO;;0,306;7,981;ID_16471960-99d6-407b-9a86-034944648955;1013614849;LOD2;1610;386001,4;5821767,5;180;0;4120,0;30,00;138,7;185;191,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Dw2r4vIzoCu;;0,261;22,048;ID_2b602158-4a22-457b-90d9-5a6c3c765f4c;1714163803;LOD2;1010;385862,5;5820029,4;296;10;141,9;30,00;138,7;6;6,20;1033;29;53;124;216;218;233;203;200;139;68;36;23;
DEBE3Dw2r4vIzoCu;;0,261;22,048;ID_959a3a56-63dd-4925-b337-d9eae7b47ab2;433673987;LOD2;1010;385862,5;5820029,4;116;10;100,8;30,00;138,7;4;4,13;1033;23;45;114;208;210;218;196;188;130;60;31;18;
DEBE3D01YYK0002RU6;;0,518;7,693;ID_261a355f-61f1-4d3e-89ba-2e674da88582;1494183608;LOD2;2020;385951,0;5821705,4;180;0;333,4;30,00;138,7;15;15,49;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Do8rDMsRMS0;;0,314;20,542;ID_9cff4763-20e3-4ae2-ba24-9db0f5315ff1;919288127;LOD2;1010;385603,7;5820180,8;180;0;112,1;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_ffa0f378-b79c-4547-a9bc-8650e62b10eb;;0,320;12,488;ID_4256f3cb-ee03-4387-9838-6f8b491047f7;1768966409;LOD2;2020;385662,7;5821775,1;180;0;508,1;30,00;138,7;22;22,73;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D01YYK0003UVt;;1,094;4,577;ID_6d2fb6b0-9704-400c-b342-9cc99115e0ab;1081847826;LOD2;1610;385739,1;5821799,2;348;3;41,4;30,00;138,7;1;1,03;1033;27;49;113;205;211;225;198;190;130;63;32;21;
DEBE3D04YY500007pI;1905;0,995;3,641;ID_7a579f7c-ef2a-48b7-a866-a4c69ec0e8bc;313035838;LOD2;2520;384529,9;5821384,8;348;5;58,2;30,00;138,7;2;2,07;1033;27;49;113;205;211;225;198;190;130;63;32;21;
DEBE3D04YY50000IS8;;1,189;2,611;ID_2d7c0cf1-3932-423f-adf2-db15c48f7b3f;2047758206;LOD2;2460;384712,9;5821918,2;180;0;146,3;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DvPdvtWag0a;1905;0,334;21,434;ID_ce663304-5e2d-4d06-b762-eed63607114b;1887549772;LOD2;1010;384705,5;5820764,0;195;10;302,7;30,00;138,7;13;13,43;1033;31;56;138;235;225;231;206;208;152;73;41;24;
DEBE3DMol1JKz75F;;0,264;21,101;ID_5d7faadd-43d6-4ab1-a0b8-5b6fc19cfa64;60376859;LOD2;1010;385062,1;5820069,3;180;0;223,3;30,00;138,7;10;10,33;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY500007pM;1900;0,324;21,176;ID_5cd2d544-89a2-4347-aa42-75f571695ee9;1986276309;LOD2;1010;385283,5;5820749,8;183;51;97,0;40,00;137,0;5;5,10;1020;33;61;166;250;207;203;183;205;172;82;55;24;
DEBE3D04YY500007pM;1900;0,324;21,176;ID_b981fec0-f7ce-45d1-a2f5-251e6dc4523f;1584557501;LOD2;1010;385283,5;5820749,8;3;10;191,8;30,00;138,7;8;8,26;1033;25;45;102;190;203;219;193;181;119;58;28;19;
DEBE3DwXnFXWNHZp;1905;0,938;3,000;generated_ID_155241;2105439707;LOD2;1010;384831,1;5820791,0;180;0;229,0;30,00;138,7;10;10,33;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_4408b385-b44c-4c3e-9a38-0593026a62e9;1955;0,360;21,795;ID_289157b1-5413-483f-a622-d047259310d9;436686652;LOD2;2071;384735,7;5820919,7;15;3;235,1;30,00;138,7;10;10,33;1033;26;47;110;202;209;222;197;187;127;61;31;21;
DEBE3DK38opVgoCI;1985;0,353;7,012;ID_9f1ad4f6-03a2-46a4-b184-6763b395954c;584410510;LOD2;2071;385179,0;5820626,8;180;0;492,9;30,00;138,7;22;22,73;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000IT5;;0,438;13,558;ID_57c4cd92-0a4d-4f31-b8cf-8087e4687567;1107584323;LOD2;1010;384932,8;5820112,3;87;10;59,8;30,00;138,7;2;2,07;1033;22;42;105;197;203;214;192;181;122;57;28;17;
DEBE3D04YY50000IT5;;0,438;13,558;ID_dc76e478-924e-4c5f-baa3-968e32d031e7;472932901;LOD2;1010;384932,8;5820112,3;267;10;57,0;30,00;138,7;2;2,07;1033;32;57;134;227;224;236;206;207;148;72;40;25;
DEBE3Dl7erxzB9cg;;0,345;21,553;ID_b972f5a9-9319-4b5b-aa47-b1e46a69cd98;1665951786;LOD2;1010;385654,6;5820090,7;283;3;99,5;30,00;138,7;4;4,13;1033;30;53;125;218;219;231;203;200;140;68;36;24;
DEBE3Dl7erxzB9cg;;0,345;21,553;ID_7f2c96b9-7310-495a-a705-c0958e0b8918;2025606305;LOD2;1010;385654,6;5820090,7;283;28;67,8;40,00;130,6;4;3,89;973;30;56;133;218;216;235;197;204;144;70;38;23;
DEBE3D01YYK0002S3s;;0,977;3,452;ID_628cba2a-5501-4c3b-b3fb-a0823fd5458c;1719033465;LOD2;3021;385886,4;5820761,8;180;0;94,2;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000J3f;;0,298;22,416;ID_34bc48d6-083f-41ad-8693-e6753512b731;252444049;LOD2;1010;385233,7;5820094,1;278;40;79,1;40,00;131,6;4;3,92;980;31;57;138;222;215;232;193;206;147;71;40;24;
DEBE3DgGO2zm2zH8;1925;0,598;19,767;ID_1224bb1e-ecba-4e64-9f61-66ee4a0d72f9;727203323;LOD2;1010;384562,5;5821243,7;260;41;66,4;40,00;143,0;3;3,19;1064;38;65;158;244;226;238;200;218;164;81;50;30;
DEBE3DQDtZRvMAgt;;0,254;22,616;ID_e7a7b927-6d07-4e64-95cd-6bf29a0715da;1967616710;LOD2;1010;385569,1;5820830,4;180;0;160,7;30,00;138,7;7;7,23;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D01YYK0002Qqo;;0,972;3,307;ID_59af0d5f-10dc-4066-b6f5-02a8938d0660;1523549751;LOD2;2020;385725,0;5821111,8;180;0;96,2;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DMT9Q3Vp5pA;1925;0,287;21,350;ID_a3bbb9e4-496f-45d6-bf5b-f3a6c3569491;53497534;LOD2;1010;385349,3;5820613,0;182;38;46,4;40,00;138,5;2;2,06;1031;31;59;159;251;217;215;194;210;169;79;51;23;
DEBE3DMT9Q3Vp5pA;1925;0,287;21,350;ID_c4834e78-dc84-4acf-974e-9dca680c39ae;2012355697;LOD2;1010;385349,3;5820613,0;272;39;273,9;40,00;137,6;16;16,40;1025;34;61;148;234;221;236;197;213;156;76;45;27;
UUID_9225be72-8631-4da3-9b31-f6ba03b5af35;;0,287;20,278;ID_34d2d7ad-05a7-4d1c-96b3-7a3cc9805d28;1927370391;LOD2;1010;385969,7;5820030,2;180;0;92,7;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000RCt;;0,346;10,774;ID_1f5c823d-faa7-4777-8cf3-58eb4c1ab6bc;596646077;LOD2;2054;385261,4;5821276,2;180;0;714,0;30,00;138,7;32;33,06;1033;28;50;120;214;216;226;201;195;136;65;34;22;
